file,width,height,bytes,alt,usedOn
common/explorer-mascot.webp,264,257,14840,数独探险家卡通探险员吉祥物,首页、顶部品牌区、空状态
common/child-avatar-boy.webp,229,232,9786,男孩默认头像,顶部孩子信息、切换孩子页
common/wooden-sign.webp,522,332,24570,带指南针的空白木质路牌,首页今日任务、页面标题
common/explorer-boy-waving.webp,380,371,28084,挥手的儿童探险员,成长报告页头、欢迎区域
common/foliage-ground.webp,485,205,6596,草地花丛装饰条,卡片底部和页面装饰
common/foliage-bushes.webp,555,205,8636,茂密灌木花丛装饰条,页面底部和标题区装饰
home/adventure-map.webp,548,383,39324,森林河流闯关地图,首页闯关地图主入口
home/goal-clearing.webp,490,302,20982,森林终点旗帜场景,今日任务或关卡目标
home/sudoku-board.webp,340,265,10712,带铅笔的数独棋盘插画,首页自由练习入口
home/growth-trophy.webp,335,265,11312,金色星星奖杯插画,首页成长报告入口
home/secret-book-chest.webp,368,265,13446,秘籍书本和宝箱插画,首页闯关秘籍入口
practice/practice-header.webp,1030,250,23320,带木牌和花草的练习页头背景,自由练习页面标题区
practice/recommendation-medal.webp,301,251,13180,金色星星推荐奖章,自由练习推荐条
practice/recommendation-calendar.webp,360,290,14688,带星星的推荐日历,今日推荐入口
practice/custom-practice.webp,365,300,16952,带铅笔的数独练习板,自选练习入口
practice/question-bank.webp,383,265,15586,绿色数独题库书本,我的题库入口
practice/printer.webp,465,280,15012,正在打印数独题目的打印机,打印练习入口
practice/tip-banner.webp,1020,145,8724,带灯泡和植物的小提示横条,自由练习页提示区域
growth/growth-hero.webp,1045,376,48376,森林与挥手探险员成长页插画,成长报告页头
growth/star-trophy.webp,205,230,9224,金色星星奖杯,累计星星指标
growth/current-title-badge.webp,225,230,7646,绿色皇冠称号徽章,当前称号指标
growth/completion-target.webp,255,230,9870,绿色靶心和箭头,最近完成率指标
growth/progress-map.webp,315,240,12824,带旗帜的探险地图,当前进度指标
growth/recent-performance-sun.webp,199,220,6894,微笑太阳图标,最近表现折叠项
growth/method-lightbulb.webp,240,230,6528,发光灯泡图标,方法掌握折叠项
growth/practice-record-notebook.webp,227,234,6724,带铅笔的练习记录本,练习记录折叠项
settings/settings-title-sign.webp,768,200,17050,带齿轮的空白木质设置路牌,设置页标题
settings/sync-status-panel.webp,775,275,14294,云同步状态插画面板,设置页账户与同步区域
settings/music.webp,240,240,5970,音乐音符设置插画,声音与音乐设置
settings/eye-care.webp,245,240,7130,绿色眼睛护眼插画,护眼模式设置
settings/vibration.webp,255,240,8440,手机震动反馈插画,震动反馈设置
settings/cloud-sync.webp,250,240,6200,云端上传同步插画,数据同步设置
settings/reminder.webp,240,230,5808,黄色提醒铃铛插画,学习提醒设置
settings/difficulty.webp,245,230,5706,紫色难度柱状图插画,题目难度说明
settings/rewards.webp,255,230,6614,橙色礼物奖励插画,奖励与动画设置
settings/about.webp,250,230,5292,绿色信息说明插画,关于我们
backgrounds/card-green.webp,340,165,5114,浅绿色叶片卡片背景,成长报告、设置页折叠卡
backgrounds/card-cream.webp,325,165,4446,米黄色星光卡片背景,今日任务、推荐卡
backgrounds/card-sky.webp,370,165,4902,蓝天白云卡片背景,自由练习入口卡
backgrounds/forest-clearing.webp,325,235,11402,森林草地场景背景,空状态、提示弹窗
backgrounds/soft-green.webp,325,235,6884,柔和浅绿色叶片背景,通用内容卡
